Bharat Ki Murtikala Ki Kahani,"English, Hindi",Bhagwatsharan Upadhyay,"Arts, Culture, Literature","Swadesh-Paricha Mala - India is a great country, in relation to which this booklet gives a complete description of all aspects of India. Artistic images in two colors on each page, smooth language and authentic facts. The author of this booklet is Dr. Bhagwatsharan Upadhyay, a renowned litterateur, penetrating History and art. Story of India, story of Culture to India, story of cities of India, story of buildings of India, story of rivers of India, story of painting of India, story of sculpture of India, story of literature of India, story of Indian music , The neighboring country of India, Indian Culture abroad, these books have been collected in this Malika."
Mother Teresa Symbol of Kindness,"English, Hindi",Om Books Editorial Team,"Biography, Literature","Albanian-born Roman Catholic nun mother Teresa also known as the saint of the gutters, devoted her life to serving the poorest of the poor and the needy. This beautifully illustrated Biography traces her journey as a young teacher to becoming the saviour of the underprivileged. Mother Teresa’s life and labour bore witness to the joy of loving, the greatness and dignity of every person, the value of little things done faithfully and with love, and the outstanding worth of faith in God. Her service to mankind is immense: she had established homes, shelters, hospitals and treatment centres for the dying, abandoned and sick. This much honoured personality left a legacy of unshakable faith, invincible hope and extraordinary charity. Her grit and determination in helping the helpless still inspires millions of people from around the world.."
Operation Jinnah,"English, Hindi", Shiv Aroor," Crime, Mystery, Fiction","A girl is kidnapped by Pakistani terrorists in Pahalgam, Kashmir. But this is no ordinary girl And her kidnapper is no ordinary man.In Delhi, Admiral Nirbhay Rana, India’s most strong-willed naval officer, watches as the consequences of a lethal operation from his past crash into the present, holding both his daughter and his country hostage. In New York, as the Indian prime minister plays a delicate game of Politics with Pakistan’s prime minister and the US president, Admiral Rana must assemble the only team he trusts to get his daughter back – the very same group of commandos he had led into the heart of Pakistan-occupied Kashmir years ago. Will they make it back alive this time?"
"Hindu Rites, Rituals, Customs & Traditions","English, Hindi",Prem P Bhalla,"Arts, Culture, Literature","Rites, rituals and customs play a major role in the life of every person, irrespective of religious affiliations. However, this is more prominent in the case of Hindus. Right from the time of conception and birth, up to a person`s passing away and even after it, rites and rituals follow a Hindu at all times, much like a shadow. Indeed, there is one or the other rite, ritual or custom that comes into play for Hindus 365 days of the year."
Cup of Tea,"English, Hindi",Osho,"Literature, Personal Development","This is a collection of 365 letters written by Osho to seekers and friends. These letters have a rare and beautiful quality as Osho recalls incidents from his own life, tells stories and parables and reflects on the nature of truth and the journey of a seeker. Anyone drawn to truth will treasure this book - the perfect bedside companion, to be savored one cup at a time. It is an excellent introduction to the wisdom of this extraordinary man, and all will find encouragement and inspiration within its pages."
Nude: Poems,"English, Hindi",Vishal Bharadwaj,"Poetry, Literature","All of us know Vishal Bhardwaj as a film-maker whose films have consistently pushed the envelope and as a composer who has churned out some of the biggest chart-toppers in recent years. Here's presenting him in a new avatar: a poet. Over the course of these twenty-five ghazals and an equal number of nazms, Vishal comes across as a poet with a distinctive voice and a style all his own. Whether it is a romantic ode pulsating with an intense passion or yearning, or a bitter, ironic comment on the state of the nation, a gentle sense of wonder, an undeniable rhythm and a subtle intrigue pull one into the poems in Nude, both in the original Hindustani alongside their English translation by Sukrita Paul Kumar. Unusual imagery, an evocative style and an idiom that is contemporary, yet reminiscent of the old-world charm of the Hindi and Urdu poetic traditions, each poem is wrapped in mystique. The Internet and Mirza Ghalib on the roads of Mumbai happily coexist in these poems, offering an insight into how contradictions can be reconciled simply and ingeniously."
The Bloodstained Throne,"English, Hindi", Baburam Acharya,"History, Politics, Literature","Nepal, land of Buddhism and misty mountains, is not a nation whose History one would expect to be filled with blood and yet, the struggle to gain and keep control of the mountain kingdom is one marked by a long History of violence and murder. The Bloodstained Throne is a translation of Aba Yasto Kahilyai Nahos, a compilation of historic essays that recount some of the bloody battles for power in a tumultuous period, a phase that spanned more than one hundred years. Published posthumously in Nepali, this tale of the machinations, massacre and bloodletting that rocked Nepal's power centre, the royal palace will give you a rare and fascinating glimpse into one of the least-known and most violent power struggles that South Asia has ever seen."
A History of Hindi Literature ,"English, Hindi",K. B. Jindal,"History, Literature","The ballads of Rajput prowess, the aphorisms of Kabir, Tulsidas, Ramayana, the bhajans of Sur and Mira, the poetical rhetoric of Kesava, the closed-packed epigrams of Behari, the lyrics of mystics Prasada, Pant and Mahadevi make Hindi literature an 'enchanted garden'. The present work seeks to give a glimpse of that 'enchanted garden' to those whose mother-tongue is not Hindi. At the end there is an anthology of Hindi verse containing best pieces of the 'nine gems' of mediaeval Hindi. A glance through the anthology may enduce the reader to read the full text in the original. From the Chhandas of the Vedas to the Khadi Boli of the present day is a long span of five thousand years. From Chhandas to Sanskrit, from Sanskrit to Prakrit, from Prakrit to Apabhramsa, from Apabhramsa to local dialects Dingal, Pingal, Avadhi, Brajbhasa, Maithili, Bhojpuri, Bundeli, Dakhani, and finally a wrench from the past and the birth of a new language, the Khadi Boli of today-is a phenomenon unparalleled in the History of any language."
Once It Flowers,"English, Hindi",Vinod Kumar Shukla,"Poetry, Literature, Fiction","A thunderstorm blows the roof off a village school. Guruji, the school teacher, who lives in the school building with his family, is forced to seek shelter in an abandoned police station. The schoolhouse opens to the sky, and along with it, this intensely poetic novel opens up to the inner world of a dozen characters: Guruji, his wife, their two children, the village watchman, the tailor, the teashop owner at the railway station and the stationmaster. There is also the worldly-wise grocer, Jivrakhan, and his wife, who listens to the radio because nothing else will fill the emptiness in her life.A dreamlike novel that is an extraordinary evocation of modern India."
Hawa Ki Mohtaaz Kyun Rahoon : Kavitaen,"English, Hindi", Indu Jain,"Poetry, Literature","Handpicked from the existing nine collections and some unpublished Poetry by the Indu Jain, the poems in Hawa Ki Mohtaj Kyun Rahoon give us an insight into the world of poetic imagination. They hide in their wake a rich world of experiences that slowly enter readers' consciousness and get etched in their memories forever."
Jawaharlal Nehru,"English, Hindi",Om Books Editorial Team,"Biography, Literature","Jawaharlal Nehru, fondly remembered as Chacha Nehru by the children of India, was the country's first prime Minister. He played a stellar role in india'sfreedom movement and was the architect of modern India.He was an outstanding speaker, excellent diplomat and a popular writer.He held many important political posts and won several Awards including prestigious Bharat Ratna. This illustrated Biography gives an insight in to the life of a great political leader."
Bikal the Terrible,"English, Hindi","Meera Ugra,  Luis Fernandes","Children's Literature, Literature, Fiction",Bikal is the original 'He-Who-Must-Not-Be-Named'. The best way to ward off Bikal the Terrible is to avoid taking his name. The word Bikal inspires such fear and awe that even a tiger gets scared of Bikal and tamely allows himself to be fooled by two daredevils. This is a delightful folktale from Madhya Pradesh.
The Rooster and the Sun,"English, Hindi",Meren Imchen,"Children's Literature, Literature, Fiction","A farmer shouts at the sun becaue it is too hot to work in the field. The sun gets upset, goes away and refuses to return. Finally, a rooster tricks the sun to shine again and every day from then on. This engaging tale is based on a folktale of the Ao tribe in Nagaland in northeastern India. The artist-animator’s illustrations are luminous and dynamic, based as they are on his animation film on the same story."
Yaadon Ke Chirag,"English, Hindi", Kamleshwar,"Biography, Literature","Two volumes of autoBiography of famous author Kamleshwar have become very popular by publishing. They are independent in themselves even when they are connected to one person and walk roughly in the order of time. The theme of the third section, 'The Burning River', runs from beginning to end with a mysterious woman. At the same time, they keep telling stories of literature, art and film to individuals and events with their specific honesty and impunity.Kamleshwar was the first leading writer of Hindi literature to be revered in the film industry of Bombay, and his portrayal of this world is also different and distinct. These tableaus were made very attractive."
Fairy Tales: Cinderella,"English, Hindi",Brothers Grimm,"Children's Literature, Literature, Fiction","The magical story of Cinderella, whose unhappy life is transformed when she meets her fairy godmother! Bilingual Fairy Tales is a series of books aimed at helping young readers achieve proficiency in both Hindi and English. These illustrated retellings of popular fairy tales engage children, while building their skills and vocabulary in two languages through the 2-in-1 format. Old favourites enriched with a bilingual flavour make for an immersive reading experience."
Jhansi Ki Rani,"English, Hindi", Wilco Picture Library,"Biography, Literature","Rani Lakshmibai of Jhansi was one of the important leaders of the Ghadar of 1857. Lakshmibai married with the king of Jhansi, was majestic chic and well versed in the martial Arts. And when her husband died untimely, she became the queen of Jhansi. This issue is dedicated to the life story of that great warrior, which will show you the inappropriate ways of the British of that time to seize their kingdom. I will not give Jhansi were his words which fought "
Chandrakanta ,"English, Hindi",Devaki Nandan Khatri,"History, Literature, Fiction","Chandrakanta, Devaki Nandan Khatri’s extraordinary novel, first published in 1888, is set in the courtly world of princes and princesses, magnificent palaces and gardens. The beautiful Princess Chandrakanta is imprisoned in an ancient tilisma, and waits to be rescued. Her lover, the valiant Prince Birendra Singh, battles jealous rivals and tries to break the ancient enchantment in order to reach her. The real protagonists of the story, however, are not the prince and the princess, but their secret agents, the ‘spy-magicians’ known as aiyaars. Written in the spoken Hindi of northern India rather than in any difficult literary idiom, Chandrakanta became an instant hit upon publication and was modern India’s first bestseller. Over the years its appeal has remained intact through various translations and adaptations, both in the printed form and in the visual medium."
Dishonoured by History,"English, Hindi", Radhakrishna Meena,"History, Crime, Politics","In this path-breaking study, Meena Radhakrishna traces the History and implications of a piece of colonial legislation--the Criminal Tribes Act. She discusses the changing notions of Crime and criminality over a period of time, and shows how the colonial administration's traditional prejudice against gypsies combined with realpolitik on the one hand, and with a need for wage workers on the other, to feed into the category 'hereditary criminal'. Focusing on the itinerant trading community of Koravas in colonial Madras, Dr Radhakrishna studies in detail the process of its forced sedentarisation in a police and missionary-run settlement. Here the community was meant to be reformed, albeit more through wage work than evangelism. The study shows how inspite of severe and repeated ruptures from its past, the community survived and forged a strong trade union movement. The archival sources used in this study establish the community to have been an honourable and useful part of sedentary society in the past. However, through a careful analysis of its present oral Culture and folklore, Dr Radhakrishna shows that its members have lost memory of that History, and share the widespread belief of the community's earlier, dangerous criminality."
The Devotional Poems of Mirabai,"English, Hindi", A.J. Alston,"Poetry, Literature","The Devotional Poems of Mirabai offers the reader a sober english translation of two hundred of her Padas, based on the interpretative work of Indian scholars that has appeared during the last few decades. Three introductory essays deal with her life, her place in the Bhakti movement and the characteristics of her Poetry. Terminal notes explain the mythological references to the non-Hindu reader, indicate some linguistic difficulties and record minor deviations from the fifteenth edition of Parashuram Chaturvedi's Mirambai Ki Padavali, the basic text used."
Fairy Tales: Hansel and Gretel,"English, Hindi",Brothers Grimm,"Children's Literature, Literature, Fiction","The magical story of Hansel and Gretel, the brother and sister who have an enchanting adventure in the forest, which turns their bad luck around! Bilingual Fairy Tales is a series of books aimed at helping young readers achieve proficiency in both Hindi and English. These illustrated retellings of popular fairy tales engage children, while building their skills and vocabulary in two languages through the 2-in-1 format. Old favourites enriched with a bilingual flavour make for an immersive reading experience."
The Unshaken Mind,"English, Hindi",Sirshree,"Literature, Personal Development, Fiction","Win over your mind by making it win! From time immemorial, man is troubled by the whims and fancies of his mind. Though the mind cannot be seen, yet we can feel it. It is instrumental in taking most of our life decisions. However, it is due to the mind that we vacillate between past and future, happiness and sorrow, success and failure. So far, the focussed mind has helped us to acquire knowledge, power and the possessions of this world. But the same mind is also the hidden reason for our woes. Can we transform our mind to become the cause for everlasting joy? How can the mind be transformed? What is the highest potential of the human mind? This book answers all these questions and more. It throws light on the spiritual aspects of the mind. In a step-by-step manner starting from the basics of the mind, this book delves deeper into various traits of the mind. It expounds effective techniques to train the mind. Ultimately, it guides us to go beyond the mind! Read through this book and become the master of your mind! Start the journey of winning over the mind by making it win!"
Aur Panchhi Ud Gaya,"English, Hindi",Vishnu Prabhakar,"Biography, Literature","The much-awaited autobiography of the famous litterateur Vishnu Prabhakar… along with a complete look at the literary life and society and country around a century, and document Vishnu Prabhakar in his long life, apart from literature, social intimacy and freedom-struggle They were connected - theatre, radio and television were active in all from the beginning. Like his acclaimed work 'Aware Messiah' written on the life of Sharatchandra Chatterjee, it is also a unique creation of its own kind. This autobiography is published in three volumes: • Featherless (first volume) • Muktha Gagan (second volume) • Birds flew (third section)"
Tantrasangraha of Nilakantha Somayaji,"English, Hindi", K. Ramasubramanian,"History, Culture, Literature","Tantrasangraha, composed by the renowned Kerala astronomer Nilakantha Somayaja  ranks along with aryabhatya of Aryabhata and Siddhantariromani of Bhaskaracharya as one of the major works which significantly influenced further work on astronomy in India. One of the distinguishing features is the introduction of a major revision of the traditional Indian planetary model. Nilakantha arrived at a unified theory of planetary latitudes and a better formulation of the equation of centre for the interior planets (Mercury and Venus) than was previously available. In preparing the translation and explanatory notes, K. Ramasubramanian and M. S. Sriram have used authentic Sanskrit editions of Tantrasangraha by Surand Kunjan Pillai and K V Sarma. All verses have been translated into English, which have been supplemented with detailed explanations including all necessary mathematical relations, illustrative examples, figures and tables using modern mathematical notation."
The Unclaimed Luggage and Other Stories,"English, Hindi",Sayantan Gupta,"Literature, Fiction","Life, with its crazy swings of emotion from the jocular to sombre, from hilarity to downright sadness, from ecstasy to desperation, is like a mad roller-coaster ride. This exquisite collection of eighteen short stories, presenting a plethora of various emotional ranges, depicts the rough-and-tumble life at its best. There are funny stories and sad. Some of the stories are written with a delightful tongue-in-the-cheek style. There are tales of woe and dilemma, that may be somewhat thought provoking as well. The handful of ghost stories that are thrown in, are regular spine-chillers, even for the most sceptic readers. In the line of his duty, the author had travelled widely all through the length and breadth of the state of West Bengal. This is reflected in the settings of the stories. Some of them are set in rural areas, some in small towns, while a few are set in the metro city where the author had grown up. There is one story from ancient Rome, which shows the author at his best. This kaleidoscopic array of tales makes the book eminently readable."
Modi's Blueprint for India,"English, Hindi", Anil Bhat,Politics,"India entered the 21st century with multiple challenges - both external and internal - and a History of tackling these challenges mostly softy, or not as hard and effectively as they should have been tackled. In 2014 general election the Bhartiya Janata Party (BJP) got voted into power with a massive majority. Almost a year earlier the BJP had declared Narendra Modi as its prime ministerial candidate. Despite a concerted campaign of vilifying him, his appeal grew and spread and he finally became the Prime Minister of the world's largest democracy. The 2014 mandate stands out as the first ever one giving a clear majority to a non-Congress party. This is an unprecedented mandate with many inherent messages. Modi's message of development and good governance combined with the economic agenda of growth attracted the attention of young and aspiring India. His government must achieve on diverse subjects like economy, foreign policy, food security, external and internal security, job creation, administrative reforms etc. The people of India have high hopes and expectations from Modi's government and they will be impatient to see how Narendra Modi will out his agenda. It is an opportune time to for him to restore people's faith in democracy and India's glory. The contributors have tried to bring out some of the relevant issues with hopes that the compilation would be useful to take India to greater heights."
Soordas,"English, Hindi",B. K. Chaturvedi,"Poetry, Literature","Book Summary of Soordas :Mystic Saints Of India: Vol. 8 Perhaps the best lyrical poet-saint that Hindi vernacular has ever produced, Soordas had a miserable life but by dint of his undying devotion to Lord Krishna he became the most 'sung' poet in the heart-land of India. This book weaves his life-story evoked basically from his own creations, in the absence of the authentic details, in a sort of a novelette and gives his selected poems' original text, its Romanised version alongwith Hindi and English translations, for the benefit of those have no knowledge of Hindi and 'Braja-Bhasha'. A prized book for the library of those who wish to glimpse at the very soul of 'devotional India'."
20 - 20 Cricket: Ek Nayi Kranti,"English, Hindi",John Buchanan,"Sports, Literature","A new amazing revolutionary game of Twenty20 cricket which has turned cricket into sports as well as entertainment and an industry.Glamor, money, Bollywood entertainment all became involved in the form of cricket in India. Money so much that its critics gave it the name of Indian Paisa League. The glamor of the cheerleaders is such that not seeing a lot of spectators play, watching the dance of the cheerleaders, film stars like Shahrukh Khan joined the tournament, people also enjoyed Bollywood in cricket itself. From the players' auctions to the dressing room fights and the dispute between the captains of the two teams, people enjoyed cricket with them throughout the tournament. Shane Warne's feud with Ganguly, stopping Shah Rukh from going to his team's dressing room under the pretext of security, Harbhajan slapping Srikanth, Ganguly being unsuited by Buchanan for T20 captaincy, and Buchanan's speech war with Gavaskar.John Buchanan has been the coach of the Knight Riders of Australia and Kolkata, and has been known for controversies. In this book, he openly and in a very entertaining way decided the future of cricket and IPL. The events in and out of the field have been disclosed."
Ravindranath Tagore,Hindi,Wilco Picture Library,"Biography, Literature","The versatile Rabindranath Tagore, through his creative works, played a big role in the freedom movement, giving a purpose, direction and program to the Indian society of that time. Tagore, better known as 'Gurudev', founded 'Shanti Niketan', an institution like 'Gurukul', with the aim of giving new life to the Indian traditionalist style to diversify in the field of education."
Says Kabir: A Collection of the Hundred and Ten Poems of Kabir,"English, Hindi",Kabir,"Poetry, Literature",Kabir's Poetry is replete with the tenets of Indian philosophy. The poem in the volume are divided into three sections:- (1)awakening (2) yearning and (3) union. Kabir in English is natural and real and reading this tanslation it seems one is reading Kabir in original. Hardbound
God's Human Future: The Struggle to Define Theology Today,"English, Hindi",David Galston,"History, Personal Development","Biblical studies and theology for some time now have operated as independent fields of study, but recent developments have opened up new avenues for them to engage one another. Both fields must now address the question: what is the value of religion for the future? Here Galston draws upon two types of theology for his response. The first, Covenant theology, arises from the Hebrew Bible, iwht its image of God in agreement or covenant with a nation. The second, Enlightenment theology, arises from the wisdom tradition where the divine finds reality in the lifestyle of individuals and communities. After the Council of Nicaea in 325 CE, Christianity came to be defined not by the parables of Jesus, which are open to many different interpretations, but rather by the belief that History will end in apocalypse. With the rise of the sciences, Western Culture has kept this apocalyptic outlook but replaced religion with human reason. Galston rejects the belief that religion can be reduced to scientific ideas. Instead, he argues that religion, like Poetry, holds value because it expands one's vision of life. Understood in this light, religion, though a human creation, is certainly not a waste of time."
How the Fox Got His Colour,"English, Hindi",Nirmal Kumar Bohra,"Children's Literature, Literature, Fiction","This delightful little story tells of a young girl's time with her grandmother as she relates a legend of how a mischievous little white fox, with all his grand adventures, became the red fox we all know today. How the Fox got His Colour may well become an all-time children's classic and a perfect book for the young reader. "
Chhoti si Umar,"English, Hindi", Ashutosh Dubey,Poetry,it is basically a books of poem by young boy who passed away at the age of 14.the child has shown mature and humane feelings of love and belongingness through his creative work which will be inspirational for the children of his age.
Shallow Creek,"English, Hindi",Bob Williams,Fiction,"In 1939, high in the mountains of Eastern Tennessee, William Wallace s house burns to the ground and kills his father. With no other immediate family alive, William is sent to Mosheim, Tennessee to live with his grandfather, Silas Wallace, a man he doesn't know. He has heard some stories about Silas from his father, however, and none of them were good. William comes to learn over time that as much as he needs his grandfather, his grandfather needs him even more. He also comes to love the land Silas calls Shallow Creek, land that has been in his family for generations and symbolizes the importance of family, perseverance, love and kindness. Sadly, in Mosheim, he also comes head to head with hatred, bigotry, and cruelty. The intriguing life of William Wallace, with its many twists and turns, will tug at the reader's emotions. All of us are looking for our own Shallow Creek."
SECRET OF HAPPINESS,"English, Hindi",Tej Guru Sirshree Tejparkhiji ,Personal Development,"In the eternal quest for happiness, wer go through seven levels of happiness until we attain what we have always wanted. 1) Artificial happiness does not even actually exist. It is just little false pleasures that make a person feel happy for a moment. 2) Second hand happiness : This is pleasure dervid by making fun, taunting, bullying or troubling other. 3) Stimulation happiness : This happiness is aroused by excitement. 4) Formula happiness : This kind of pleasure is created by applying a formula. For example, the formula for most people is Television plus Dinner is Enjoyment. 5) Happiness through service : This is the first amongst higher levels of happiness where an individual derves happiness out of serving others. 6) Divine happiness : In this kind of happiness, a person experiences joy due to his devotion and surrender to the Higher Self. 7) Eternal Bliss : This ultimate stage of everlasting pure happiness. This book shall teach you to move to higher levels of happiness. It shall open a pathway to true and everlasting happiness that eludes us. It is possible to attain instant happiness - Here and Now! This book is the beginning to shift to higher levels of consciousness. It reveals the secret of happiness."
Lullabies of the World,"English, Hindi",Reijo Kekkonen,"Children's Literature, Literature","Rocking and singing reassure babies and small children - with this ritual millions of mothers, fathers and grandparents worldwide lull their children to sleep. This custom has existed since the earliest days of mankind. Dorme, dorme, meu menino is sung in Portugal, Tuta nana tgu in Grisons, a small part of Switzerland, Lala, mtoto lala; in Swahili. This book presents 51 beautiful lullabies from all over the world in their infinite variety. "
Guardians of Tamilnadu,"English, Hindi",Eveline Masilamani-meyer ,"History, Fiction","The gods and goddesses that populate the Tamil villages and countryside are rarely called Siva, Vishnu or Parvati and yet, they are understood to be forms or aspects of these pan-Hindu deities. Similarly, the ritual performed for the folk deities show traits antagonistic to Brahmanical values and yet, we find in them symbols and myths common to the high Sanscritic tradition. In the present work the author traces patterns and structures that help the reader understand the salient features of Tamil folk Hinduism and its differences to and similarities with the high tradition. The book has chapters on the arrangement of the folk deities in the temple, the deities' place in the ordered and wild space, their relationship with the pan-Hindu gods and goddesses and chapters on how the devotees connect to the folk deities through myths, rituals and worship. The great diversity and richness of the Indian folk religion and the ever greater assimilation of folk cults into the high tradition are topics that need to be explored in depth. The present book is a contribution towards this goal."
Operation Wormwood,"English, Hindi",Helen C. Escott,"Crime, Fiction, Mystery","When an elderly man is carried into the emergency department with severe nosebleeds and excruciating pain, it sets off a chain of events that leaves doctors mystified. Dr. Luke Gillespie and Nurse Agatha Catania investigate their symptoms but are unable to diagnose them. The only thing they have in common is Sgt. Nicholas Myra, an investigator with the Royal Newfoundland Constabulary. Dr.P Gillespie and St. Myra join forces to solve this twisted Mystery. But the story takes a critical turn when Sister Pius, a nun from Mercy Convent, informs them about Wormwood: a disease she believes is created by God to kill perpetrators of the most heinous Crime's."
